windc_sector,windc_desc,bea_summary,bea_summary_desc,oecd_code,OECD ICIO Industry,"flag (0=possibilities, 1=error,2=ambiguous,3=perfect match)",proposed sector,which is larger?
amb,Ambulatory health care services (621),621,Ambulatory health care services,Q,Human health and social work activities,0,Human health and social work activities,oecd
hos,Hospitals (622),622,Hospitals,Q,Human health and social work activities,0,Human health and social work activities,oecd
nrs,Nursing and residential care facilities (623),623,Nursing and residential care facilities,Q,Human health and social work activities,0,Human health and social work activities,oecd
soc,Social assistance (624),624,Social assistance,Q,Human health and social work activities,0,Human health and social work activities,oecd
ppd,Paper products (322),322,Paper products,C17_18,Manufacture of paper and paper products,0,Manufacture of paper and paper products,oecd
pri,Printing and related support activities (323),323,Printing and related support activities,C17_18,Manufacture of paper and paper products,0,Manufacture of paper and paper products,oecd
alt,Apparel and leather and allied products (315AL),315AL,Apparel and leather and allied products,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",0,"Manufacture of textiles, wearing apparel, leather and related products",oecd
tex,Textile mills and textile product mills (313TT),313TT,Textile mills and textile product mills,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",0,"Manufacture of textiles, wearing apparel, leather and related products",oecd
fdd,Federal general government (defense) (GFGD),GFGD,Federal general government (defense),O,Public administration and defence,3,Public administration and defence,oecd
fnd,Federal general government (nondefense) (GFGN),GFGN,Federal general government (nondefense),O,Public administration and defence,0,Public administration and defence,oecd
sle,State and local government enterprises (GSLE),GSLE,State and local government enterprises,O,Public administration and defence,0,Public administration and defence,oecd
slg,State and local general government (GSLG),GSLG,State and local general government,O,Public administration and defence,0,Public administration and defence,oecd
hou,Housing (HS),HS,Housing,L,Real estate activities,0,Real estate activities,oecd
ore,Other real estate (ORE),ORE,Other real estate,L,Real estate activities,0,Real estate activities,oecd
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,H52,Warehousing and support activities for transportation,0,Warehousing and support activities for transportation,oecd
wrh,Warehousing and storage (493),493,Warehousing and storage,H52,Warehousing and support activities for transportation,0,Warehousing and support activities for transportation,oecd
ott,Other retail (4A0),4A0,Other retail,G,Wholesale and retail trade,0,"Wholesale and retail trade, stores",oecd
wht,Wholesale trade (42),42,Wholesale trade,G,Wholesale and retail trade,0,"Wholesale and retail trade, stores",oecd
fen,Federal government enterprises (GFE),GFE,Federal government enterprises,H53,Postal and courier activities,0,Federal government enterprises (GFE),windc
che,Chemical products (325),325,Chemical products,C20,Manufacture of chemicals and chemical products,0,"Manufacture of chemicals and chemical products, pharmaceutical",windc
