windc_sector,windc_desc,bea_summary,bea_summary_desc,oecd_code,OECD ICIO Industry
mmf,Miscellaneous manufacturing (339),339,Miscellaneous manufacturing,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)",3361MV,"Motor vehicles, bodies and trailers, and parts",C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)",3361MV,"Motor vehicles, bodies and trailers, and parts",C22,Manufacture of rubber and plastic products
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)",3361MV,"Motor vehicles, bodies and trailers, and parts",C23,Manufacture of other non-metallic mineral products
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)",3361MV,"Motor vehicles, bodies and trailers, and parts",C25,Manufacture of fabricated metal products
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)",3361MV,"Motor vehicles, bodies and trailers, and parts",C27,Manufacture of electrical equipment
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)",3361MV,"Motor vehicles, bodies and trailers, and parts",C28,Manufacture of machinery and equipment n.e.c. 
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)",3361MV,"Motor vehicles, bodies and trailers, and parts",C29,"Manufacture of motor vehicles, trailers and semi-trailers"
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)",3361MV,"Motor vehicles, bodies and trailers, and parts",C301,Building of ships and boats
mot,"Motor vehicles, bodies and trailers, and parts (3361MV)",3361MV,"Motor vehicles, bodies and trailers, and parts",C302T309,Manufacture of other transport equipment
mov,Motion picture and sound recording industries (512),512,Motion picture and sound recording industries,J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities"
mvt,Motor vehicle and parts dealers (441),441,Motor vehicle and parts dealers,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
mvt,Motor vehicle and parts dealers (441),441,Motor vehicle and parts dealers,G,Wholesale and retail trade; repair of motor vehicles and motorcycles
nmp,Nonmetallic mineral products (327),327,Nonmetallic mineral products,C23,Manufacture of other non-metallic mineral products
nmp,Nonmetallic mineral products (327),327,Nonmetallic mineral products,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
nrs,Nursing and residential care facilities (623),623,Nursing and residential care facilities,Q,Human health and social work activities
oil,Oil and gas extraction (211),211,Oil and gas extraction,B05,Mining of coal and lignite
oil,Oil and gas extraction (211),211,Oil and gas extraction,B06,Extraction of crude petroleum and natural gas
ore,Other real estate (ORE),ORE,Other real estate,L,Real estate activities
osv,"Other services, except government (81)",81,"Other services, except government",C29,"Manufacture of motor vehicles, trailers and semi-trailers"
osv,"Other services, except government (81)",81,"Other services, except government",C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
osv,"Other services, except government (81)",81,"Other services, except government",G,Wholesale and retail trade; repair of motor vehicles and motorcycles
osv,"Other services, except government (81)",81,"Other services, except government",H52,Warehousing and support activities for transportation
osv,"Other services, except government (81)",81,"Other services, except government",J61,Telecommunications
osv,"Other services, except government (81)",81,"Other services, except government",M,"Professional, scientific and technical activities"
osv,"Other services, except government (81)",81,"Other services, except government",N,Administrative and support service activities
osv,"Other services, except government (81)",81,"Other services, except government",R,"Arts, entertainment and recreation activities"
osv,"Other services, except government (81)",81,"Other services, except government",S,Other service activities
osv,"Other services, except government (81)",81,"Other services, except government",T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
ote,Other transportation equipment (3364OT),3364OT,Other transportation equipment,C28,Manufacture of machinery and equipment n.e.c. 
ote,Other transportation equipment (3364OT),3364OT,Other transportation equipment,C29,"Manufacture of motor vehicles, trailers and semi-trailers"
ote,Other transportation equipment (3364OT),3364OT,Other transportation equipment,C301,Building of ships and boats
ote,Other transportation equipment (3364OT),3364OT,Other transportation equipment,C302T309,Manufacture of other transport equipment
ote,Other transportation equipment (3364OT),3364OT,Other transportation equipment,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,B09,Mining support service activities
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,E,"Water supply; sewerage, waste management and remediation activities"
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,H49,Land transport and transport via pipelines
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,H50,Water transport
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,H51,Air transport
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,H52,Warehousing and support activities for transportation
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,H53,Postal and courier activities
otr,Other transportation and support activities (487OS),487OS,Other transportation and support activities,N,Administrative and support service activities
ott,Other retail (4A0),4A0,Other retail,C23,Manufacture of other non-metallic mineral products
ott,Other retail (4A0),4A0,Other retail,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
ott,Other retail (4A0),4A0,Other retail,G,Wholesale and retail trade; repair of motor vehicles and motorcycles
ott,Other retail (4A0),4A0,Other retail,S,Other service activities
pet,Petroleum and coal products (324),324,Petroleum and coal products,C16,Manufacture of wood and of products of wood and cork
pet,Petroleum and coal products (324),324,Petroleum and coal products,C19,Manufacture of coke and refined petroleum products
pet,Petroleum and coal products (324),324,Petroleum and coal products,C23,Manufacture of other non-metallic mineral products
pip,Pipeline transportation (486),486,Pipeline transportation,H49,Land transport and transport via pipelines
pla,Plastics and rubber products (326),326,Plastics and rubber products,C22,Manufacture of rubber and plastic products
pla,Plastics and rubber products (326),326,Plastics and rubber products,C27,Manufacture of electrical equipment
pla,Plastics and rubber products (326),326,Plastics and rubber products,C29,"Manufacture of motor vehicles, trailers and semi-trailers"
pla,Plastics and rubber products (326),326,Plastics and rubber products,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
pmt,Primary metals (331),331,Primary metals,C24A,Manufacture of basic iron and steel
pmt,Primary metals (331),331,Primary metals,C24B,Manufacture of basic precious and other non-ferrous metals
pmt,Primary metals (331),331,Primary metals,C25,Manufacture of fabricated metal products
pmt,Primary metals (331),331,Primary metals,C27,Manufacture of electrical equipment
pmt,Primary metals (331),331,Primary metals,C28,Manufacture of machinery and equipment n.e.c. 
pmt,Primary metals (331),331,Primary metals,C302T309,Manufacture of other transport equipment
ppd,Paper products (322),322,Paper products,C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
ppd,Paper products (322),322,Paper products,C17_18,Manufacture of paper and paper products; Printing and reproduction of recorded media
ppd,Paper products (322),322,Paper products,C22,Manufacture of rubber and plastic products
ppd,Paper products (322),322,Paper products,C23,Manufacture of other non-metallic mineral products
ppd,Paper products (322),322,Paper products,C24B,Manufacture of basic precious and other non-ferrous metals
ppd,Paper products (322),322,Paper products,C25,Manufacture of fabricated metal products
pri,Printing and related support activities (323),323,Printing and related support activities,C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
pri,Printing and related support activities (323),323,Printing and related support activities,C17_18,Manufacture of paper and paper products; Printing and reproduction of recorded media
pri,Printing and related support activities (323),323,Printing and related support activities,C25,Manufacture of fabricated metal products
pri,Printing and related support activities (323),323,Printing and related support activities,N,Administrative and support service activities
pub,"Publishing industries, except internet (includes software) (511)",511,"Publishing industries, except internet (includes software)",J58T60,"Publishing, Motion picture, video, television programme production and broadcasting activities"
rec,"Amusements, gambling, and recreation industries (713)",713,"Amusements, gambling, and recreation industries",H49,Land transport and transport via pipelines
rec,"Amusements, gambling, and recreation industries (713)",713,"Amusements, gambling, and recreation industries",N,Administrative and support service activities
rec,"Amusements, gambling, and recreation industries (713)",713,"Amusements, gambling, and recreation industries",R,"Arts, entertainment and recreation activities"
res,Food services and drinking places (722),722,Food services and drinking places,I,Accommodation and food service activities
rnt,Rental and leasing services and lessors of intangible assets (532RL),532RL,Rental and leasing services and lessors of intangible assets,N,Administrative and support service activities
sec,"Securities, commodity contracts, and investments (523)",523,"Securities, commodity contracts, and investments",K,Financial and insurance activities
sec,"Securities, commodity contracts, and investments (523)",523,"Securities, commodity contracts, and investments",L,Real estate activities
sle,State and local government enterprises (GSLE),GSLE,State and local government enterprises,O,Public administration and defence; compulsory social security
slg,State and local general government (GSLG),GSLG,State and local general government,O,Public administration and defence; compulsory social security
smn,Support activities for mining (213),213,Support activities for mining,B09,Mining support service activities
smn,Support activities for mining (213),213,Support activities for mining,F,Construction
soc,Social assistance (624),624,Social assistance,Q,Human health and social work activities
tex,Textile mills and textile product mills (313TT),313TT,Textile mills and textile product mills,C13T15,"Manufacture of textiles, wearing apparel, leather and related products"
tex,Textile mills and textile product mills (313TT),313TT,Textile mills and textile product mills,C22,Manufacture of rubber and plastic products
trk,Truck transportation (484),484,Truck transportation,H49,Land transport and transport via pipelines
trn,Rail transportation (482),482,Rail transportation ,H49,Land transport and transport via pipelines
tsv,"Miscellaneous professional, scientific, and technical services (5412OP)",5412OP,"Miscellaneous professional, scientific, and technical services",K,Financial and insurance activities
tsv,"Miscellaneous professional, scientific, and technical services (5412OP)",5412OP,"Miscellaneous professional, scientific, and technical services",M,"Professional, scientific and technical activities"
tsv,"Miscellaneous professional, scientific, and technical services (5412OP)",5412OP,"Miscellaneous professional, scientific, and technical services",N,Administrative and support service activities
tsv,"Miscellaneous professional, scientific, and technical services (5412OP)",5412OP,"Miscellaneous professional, scientific, and technical services",Q,Human health and social work activities
uti,Utilities (22),22,Utilities,D,"Electricity, gas, steam and air conditioning supply"
uti,Utilities (22),22,Utilities,E,"Water supply; sewerage, waste management and remediation activities"
uti,Utilities (22),22,Utilities,H49,Land transport and transport via pipelines
wht,Wholesale trade (42),42,Wholesale trade,G,Wholesale and retail trade; repair of motor vehicles and motorcycles
wpd,Wood products (321),321,Wood products,C16,Manufacture of wood and of products of wood and cork
wpd,Wood products (321),321,Wood products,C22,Manufacture of rubber and plastic products
wpd,Wood products (321),321,Wood products,C31T33,Manufacture of furniture; other manufacturing; repair and installation of machinery and equipment
wrh,Warehousing and storage (493),493,Warehousing and storage,H52,Warehousing and support activities for transportation
wst,Waste management and remediation services (562),562,Waste management and remediation services,E,"Water supply; sewerage, waste management and remediation activities"
wtt,Water transportation (483),483,Water transportation,H50,Water transport
