build,origin,share_to_CA
g0.25,TN,0.08216133308890293
g0.25,TX,0.09570773851184255
g0.25,UT,0.12361457369498527
g0.25,VA,0.07713269472923996
g0.25,VT,0.0754718755471307
g0.25,WA,0.13010955852856726
g0.25,WI,0.09383293503903099
g0.25,WV,0.07430902670653605
g0.25,WY,0.09903964305616782
g0.5,AK,0.1502680805906941
g0.5,AL,0.07721344195853534
g0.5,AR,0.08746984727097248
g0.5,AZ,0.18196745031517667
g0.5,CA,0.0
g0.5,CO,0.14667420738731185
g0.5,CT,0.06120174486365372
g0.5,DC,0.046170630607780615
g0.5,DE,0.0580904256961829
g0.5,FL,0.080860856098832
g0.5,GA,0.07848903796761897
g0.5,HI,0.12512895302249458
g0.5,IA,0.09117071006456429
g0.5,ID,0.20605877552470128
g0.5,IL,0.08065958595435364
g0.5,IN,0.06832088158299392
g0.5,KS,0.08242990594874476
g0.5,KY,0.06885018737732522
g0.5,LA,0.0511995964041863
g0.5,MA,0.0888937717927883
g0.5,MD,0.07067494531303342
g0.5,ME,0.0742291468193852
g0.5,MI,0.08338097278152876
g0.5,MN,0.1033441314773619
g0.5,MO,0.08668277140384635
g0.5,MS,0.0757033494406872
g0.5,MT,0.09440126291852152
g0.5,NC,0.07449607933384982
g0.5,ND,0.11593384002116602
g0.5,NE,0.08989059835077066
g0.5,NH,0.07664235468879309
g0.5,NJ,0.062159311758583934
g0.5,NM,0.11955001241763334
g0.5,NV,0.320181844319994
g0.5,NY,0.08269954870078838
g0.5,OH,0.06994817398471351
g0.5,OK,0.0991389201734148
g0.5,OR,0.272381716260812
g0.5,PA,0.0691090807144694
g0.5,RI,0.06473064854374397
g0.5,SC,0.08060825293060833
g0.5,SD,0.10203245769903353
g0.5,TN,0.07737916861041277
g0.5,TX,0.10090969687190009
g0.5,UT,0.16583473198233722
g0.5,VA,0.0670089053677967
g0.5,VT,0.06460678254534317
g0.5,WA,0.17888640481409665
g0.5,WI,0.09169690445053831
g0.5,WV,0.06133382658986115
g0.5,WY,0.10449558615624505
g0.75,AK,0.1800862195479916
g0.75,AL,0.0696790962784122
g0.75,AR,0.08535788225394475
g0.75,AZ,0.2209139371621662
g0.75,CA,0.0
g0.75,CO,0.1641404250092187
g0.75,CT,0.04673725454770071
g0.75,DC,0.03687845608683095
g0.75,DE,0.04593909944417994
g0.75,FL,0.07484032737610226
g0.75,GA,0.07131785261121219
g0.75,HI,0.1597949058282491
g0.75,IA,0.09036011302595112
g0.75,ID,0.2711174392929252
g0.75,IL,0.0769408566621461
g0.75,IN,0.061905266232994034
g0.75,KS,0.0811433804887383
g0.75,KY,0.06130194580099733
g0.75,LA,0.04942253992195838
g0.75,MA,0.07176666726137167
g0.75,MD,0.054965704377282286
g0.75,ME,0.06490486033794451
g0.75,MI,0.07974859092014128
g0.75,MN,0.10293045779615567
g0.75,MO,0.08454767370448497
g0.75,MS,0.07156348018973326
g0.75,MT,0.11350264290333842
g0.75,NC,0.06551610456231201
g0.75,ND,0.12477139508462737
g0.75,NE,0.09095723705697338
g0.75,NH,0.06176779528530716
g0.75,NJ,0.051435643695888926
g0.75,NM,0.13163033965802334
g0.75,NV,0.47302358115927795
g0.75,NY,0.07106430147263358
g0.75,OH,0.06228106819278292
g0.75,OK,0.09817276560790622
g0.75,OR,0.34989182585751194
g0.75,PA,0.05860081646160365
g0.75,RI,0.048955519271397754
g0.75,SC,0.07279536018096033
g0.75,SD,0.10998813308657945
g0.75,TN,0.07256096116750173
g0.75,TX,0.1059072019695468
g0.75,UT,0.2125057762834879
g0.75,VA,0.057209539432145316
g0.75,VT,0.05305457684487875
g0.75,WA,0.23170883061075465
g0.75,WI,0.0889654209908888
g0.75,WV,0.04996586504886286
g0.75,WY,0.10736915474805896
g1.0,AK,0.21073054076669848
g1.0,AL,0.06201251172966043
g1.0,AR,0.08274280777785555
g1.0,AZ,0.25925703803974276
g1.0,CA,0.0
g1.0,CO,0.18012615501649065
g1.0,CT,0.034031981642395584
g1.0,DC,0.028795133730218154
g1.0,DE,0.03533897930097492
g1.0,FL,0.0687360111516036
g1.0,GA,0.06453533835375999
g1.0,HI,0.19950518102676343
g1.0,IA,0.08881627410732446
g1.0,ID,0.3377900138600774
g1.0,IL,0.07327125270292746
g1.0,IN,0.05594982946492121
g1.0,KS,0.07887162935783082
g1.0,KY,0.054698168390794444
g1.0,LA,0.046883566771698644
g1.0,MA,0.05554942941462473
g1.0,MD,0.04119928385780103
g1.0,ME,0.05556151914954843
g1.0,MI,0.07653022548180283
g1.0,MN,0.10168623789386658
g1.0,MO,0.0820148018874337
g1.0,MS,0.0667393378807933
g1.0,MT,0.1327365088499407
g1.0,NC,0.057501776963410633
g1.0,ND,0.13263706980793344
g1.0,NE,0.09048565851617407
g1.0,NH,0.04728891769944821
g1.0,NJ,0.041691244664245404
g1.0,NM,0.14275992265061732
g1.0,NV,0.6103130589082885
g1.0,NY,0.059619796312850956
g1.0,OH,0.055551045166985065
g1.0,OK,0.09633531504348229
g1.0,OR,0.4179649525195148
g1.0,PA,0.049109369693852135
g1.0,RI,0.03470147375207783
g1.0,SC,0.06559839288211995
g1.0,SD,0.11622706864300955
g1.0,TN,0.06818027245888159
g1.0,TX,0.11084943834886402
g1.0,UT,0.26115142222816584
g1.0,VA,0.04846245701881649
g1.0,VT,0.042169418827386645
g1.0,WA,0.2825802847480655
g1.0,WI,0.08623063312432942
g1.0,WV,0.040621079401671666
g1.0,WY,0.10805011878738761
g1.25,AK,0.2408713070766727
g1.25,AL,0.05485408830279002
g1.25,AR,0.08010667587497843
g1.25,AZ,0.29518137791553917
g1.25,CA,0.0
g1.25,CO,0.19416800507420842
g1.25,CT,0.024037970904436056
g1.25,DC,0.022349197581981565
g1.25,DE,0.026812078857258323
g1.25,FL,0.06311926287896266
g1.25,GA,0.058538970307633026
g1.25,HI,0.243423923667435
g1.25,IA,0.08708567469352949
g1.25,ID,0.4011825588320996
g1.25,IL,0.07006067950265128
g1.25,IN,0.05075384178294913
g1.25,KS,0.07619240457118241
g1.25,KY,0.04921011622622201
g1.25,LA,0.04381113746773266
g1.25,MA,0.041684611856442
g1.25,MD,0.030127346619437584
g1.25,ME,0.047034558324826614
g1.25,MI,0.07403666576034142
g1.25,MN,0.10024525823582382
g1.25,MO,0.07954468823442136
g1.25,MS,0.061670795614743125
g1.25,MT,0.1516571351895093
g1.25,NC,0.050807746314707046
g1.25,ND,0.1395777440236164
g1.25,NE,0.08904337089414019
g1.25,NH,0.034847367420595486
g1.25,NJ,0.03342670355937596
g1.25,NM,0.15307734445696639
g1.25,NV,0.7146260678565018
g1.25,NY,0.04928490748921336
g1.25,OH,0.05000176620953944
g1.25,OK,0.09377385062686089
g1.25,OR,0.4692378195619725
g1.25,PA,0.041121716688491
g1.25,RI,0.023491820857857382
g1.25,SC,0.05931548490144166
g1.25,SD,0.12086863000544747
g1.25,TN,0.06455148820682763
g1.25,TX,0.1159423169205514
g1.25,UT,0.30921605852844425
g1.25,VA,0.041110736437469715
g1.25,VT,0.03279413238930137
g1.25,WA,0.32601881999177573
g1.25,WI,0.08398796478448488
g1.25,WV,0.03328046605120972
g1.25,WY,0.10682833742163952
g1.5,AK,0.26913498482817966
g1.5,AL,0.04855071249392463
g1.5,AR,0.07769651149966376
g1.5,AZ,0.32717966145447813
g1.5,CA,0.0
g1.5,CO,0.20590185502058467
g1.5,CT,0.016753025506547413
g1.5,DC,0.017561000980266417
g1.5,DE,0.02028954547635809
g1.5,FL,0.05825422114835912
g1.5,GA,0.05344630652713846
g1.5,HI,0.28962808168733734
g1.5,IA,0.0855867226220675
g1.5,ID,0.45785475684336985
g1.5,IL,0.06749962938932974
g1.5,IN,0.04639523126929766
g1.5,KS,0.07358573212526069
g1.5,KY,0.044771047417471406
g1.5,LA,0.04042453511501361
g1.5,MA,0.03071196324436889
g1.5,MD,0.021763226761519344
g1.5,ME,0.03971832189619226
g1.5,MI,0.07236733174509605
g1.5,MN,0.0991294022457072
g1.5,MO,0.07738923618234941
g1.5,MS,0.056630522997273156
g1.5,MT,0.16986358810732388
g1.5,NC,0.04546801654577649
g1.5,ND,0.14554350578688308
g1.5,NE,0.08712751721005933
g1.5,NH,0.025100474596688925
g1.5,NJ,0.026680940036356012
g1.5,NM,0.1626836226079441
g1.5,NV,0.787506388933218
g1.5,NY,0.04046938863449955
g1.5,OH,0.04561927916382055
g1.5,OK,0.09062057248027765
g1.5,OR,0.5025117260189054
g1.5,PA,0.03467747630203239
g1.5,RI,0.015541705986880249
g1.5,SC,0.05396752991392598
g1.5,SD,0.12399238122156818
g1.5,TN,0.061758762728027446
g1.5,TX,0.12131591512837608
g1.5,UT,0.3543061762746522
g1.5,VA,0.035134326618010754
g1.5,VT,0.025193165997105152
g1.5,WA,0.3591311300259817
g1.5,WI,0.08250030294721743
g1.5,WV,0.027675620724273573
g1.5,WY,0.1039192139726175
g2.0,AK,0.3157034335164106
g2.0,AL,0.0386597400475394
g2.0,AR,0.07354154563566448
g2.0,AZ,0.3762798555391496
g2.0,CA,0.0
g2.0,CO,0.2218986322918649
g2.0,CT,0.008216234464044321
g2.0,DC,0.011938345059079727
g2.0,DE,0.011820115230271572
g2.0,FL,0.05068869642423379
g2.0,GA,0.045631189446537324
g2.0,HI,0.3777397947435027
g2.0,IA,0.08412137800204636
g2.0,ID,0.5465678764375359
g2.0,IL,0.06434505911928057
g2.0,IN,0.039870487976857216
g2.0,KS,0.06952341298054616
g2.0,KY,0.03826186942519395
g2.0,LA,0.03335823747389799
g2.0,MA,0.01660224123460625
g2.0,MD,0.01137470200604384
g2.0,ME,0.02872223430191376
g2.0,MI,0.07124205466765732
g2.0,MN,0.099148831046877
g2.0,MO,0.07415541438533418
g2.0,MS,0.04701902406955995
g2.0,MT,0.20279057596309732
g2.0,NC,0.038143624477574564
g2.0,ND,0.15400819485879402
g2.0,NE,0.08304393476612099
g2.0,NH,0.012832356538519014
g2.0,NJ,0.016974478683642272
g2.0,NM,0.18009391521927728
g2.0,NV,0.8713393350262687
g2.0,NY,0.027369019858287873
g2.0,OH,0.03965217432349171
g2.0,OK,0.08294162742972462
g2.0,OR,0.5279784767018074
g2.0,PA,0.025534239737564676
g2.0,RI,0.006881662214751782
g2.0,SC,0.0455570094878197
