build,scope,origin,leader
g0.5,all_interm,RI,NY
g0.5,all_interm,SC,NY
g0.5,all_interm,SD,CA
g0.5,all_interm,TN,CA
g0.5,all_interm,TX,CA
g0.5,all_interm,UT,CA
g0.5,all_interm,VA,NY
g0.5,all_interm,VT,NY
g0.5,all_interm,WA,CA
g0.5,all_interm,WI,CA
g0.5,all_interm,WV,OH
g0.5,all_interm,WY,CA
g0.75,goods,AK,CA
g0.75,goods,AL,FL
g0.75,goods,AR,TX
g0.75,goods,AZ,CA
g0.75,goods,CA,TX
g0.75,goods,CO,CA
g0.75,goods,CT,NY
g0.75,goods,DC,MD
g0.75,goods,DE,PA
g0.75,goods,FL,TX
g0.75,goods,GA,FL
g0.75,goods,HI,CA
g0.75,goods,IA,CA
g0.75,goods,ID,CA
g0.75,goods,IL,CA
g0.75,goods,IN,MI
g0.75,goods,KS,TX
g0.75,goods,KY,IN
g0.75,goods,LA,FL
g0.75,goods,MA,NY
g0.75,goods,MD,PA
g0.75,goods,ME,NY
g0.75,goods,MI,CA
g0.75,goods,MN,CA
g0.75,goods,MO,TX
g0.75,goods,MS,TX
g0.75,goods,MT,CA
g0.75,goods,NC,FL
g0.75,goods,ND,CA
g0.75,goods,NE,CA
g0.75,goods,NH,NY
g0.75,goods,NJ,NY
g0.75,goods,NM,CA
g0.75,goods,NV,CA
g0.75,goods,NY,MA
g0.75,goods,OH,MI
g0.75,goods,OK,TX
g0.75,goods,OR,CA
g0.75,goods,PA,NY
g0.75,goods,RI,NY
g0.75,goods,SC,FL
g0.75,goods,SD,CA
g0.75,goods,TN,TX
g0.75,goods,TX,CA
g0.75,goods,UT,CA
g0.75,goods,VA,PA
g0.75,goods,VT,NY
g0.75,goods,WA,CA
g0.75,goods,WI,CA
g0.75,goods,WV,OH
g0.75,goods,WY,CA
g0.75,all_interm,AK,CA
g0.75,all_interm,AL,FL
g0.75,all_interm,AR,TX
g0.75,all_interm,AZ,CA
g0.75,all_interm,CA,TX
g0.75,all_interm,CO,CA
g0.75,all_interm,CT,NY
g0.75,all_interm,DC,MD
g0.75,all_interm,DE,NY
g0.75,all_interm,FL,TX
g0.75,all_interm,GA,FL
g0.75,all_interm,HI,CA
g0.75,all_interm,IA,CA
g0.75,all_interm,ID,CA
g0.75,all_interm,IL,CA
g0.75,all_interm,IN,OH
g0.75,all_interm,KS,CA
g0.75,all_interm,KY,OH
g0.75,all_interm,LA,TX
g0.75,all_interm,MA,NY
g0.75,all_interm,MD,NY
g0.75,all_interm,ME,NY
g0.75,all_interm,MI,NY
g0.75,all_interm,MN,CA
g0.75,all_interm,MO,IL
g0.75,all_interm,MS,TX
g0.75,all_interm,MT,CA
g0.75,all_interm,NC,NY
g0.75,all_interm,ND,CA
g0.75,all_interm,NE,CA
g0.75,all_interm,NH,NY
g0.75,all_interm,NJ,NY
g0.75,all_interm,NM,CA
g0.75,all_interm,NV,CA
g0.75,all_interm,NY,MA
g0.75,all_interm,OH,NY
g0.75,all_interm,OK,TX
g0.75,all_interm,OR,CA
g0.75,all_interm,PA,NY
g0.75,all_interm,RI,NY
g0.75,all_interm,SC,FL
g0.75,all_interm,SD,CA
g0.75,all_interm,TN,TX
g0.75,all_interm,TX,CA
g0.75,all_interm,UT,CA
g0.75,all_interm,VA,NY
g0.75,all_interm,VT,NY
g0.75,all_interm,WA,CA
g0.75,all_interm,WI,CA
g0.75,all_interm,WV,OH
g0.75,all_interm,WY,CA
g1.0,goods,AK,CA
g1.0,goods,AL,FL
g1.0,goods,AR,TX
g1.0,goods,AZ,CA
g1.0,goods,CA,TX
g1.0,goods,CO,CA
g1.0,goods,CT,NY
g1.0,goods,DC,MD
g1.0,goods,DE,PA
g1.0,goods,FL,TX
g1.0,goods,GA,FL
g1.0,goods,HI,CA
g1.0,goods,IA,CA
g1.0,goods,ID,CA
g1.0,goods,IL,TX
g1.0,goods,IN,MI
g1.0,goods,KS,TX
g1.0,goods,KY,IN
g1.0,goods,LA,FL
g1.0,goods,MA,NY
g1.0,goods,MD,PA
g1.0,goods,ME,NY
g1.0,goods,MI,OH
g1.0,goods,MN,CA
g1.0,goods,MO,IL
g1.0,goods,MS,TX
g1.0,goods,MT,CA
g1.0,goods,NC,FL
g1.0,goods,ND,CA
g1.0,goods,NE,CA
g1.0,goods,NH,NY
g1.0,goods,NJ,NY
g1.0,goods,NM,CA
g1.0,goods,NV,CA
g1.0,goods,NY,MA
g1.0,goods,OH,MI
g1.0,goods,OK,TX
g1.0,goods,OR,CA
g1.0,goods,PA,NY
g1.0,goods,RI,MA
g1.0,goods,SC,FL
g1.0,goods,SD,CA
g1.0,goods,TN,TX
g1.0,goods,TX,CA
g1.0,goods,UT,CA
g1.0,goods,VA,PA
g1.0,goods,VT,NY
g1.0,goods,WA,CA
g1.0,goods,WI,CA
g1.0,goods,WV,OH
g1.0,goods,WY,CA
g1.0,all_interm,AK,CA
g1.0,all_interm,AL,FL
g1.0,all_interm,AR,TX
g1.0,all_interm,AZ,CA
g1.0,all_interm,CA,NV
g1.0,all_interm,CO,CA
g1.0,all_interm,CT,NY
g1.0,all_interm,DC,MD
g1.0,all_interm,DE,NY
g1.0,all_interm,FL,GA
g1.0,all_interm,GA,FL
g1.0,all_interm,HI,CA
g1.0,all_interm,IA,IL
g1.0,all_interm,ID,CA
g1.0,all_interm,IL,TX
g1.0,all_interm,IN,OH
g1.0,all_interm,KS,TX
g1.0,all_interm,KY,OH
g1.0,all_interm,LA,TX
g1.0,all_interm,MA,NY
g1.0,all_interm,MD,PA
g1.0,all_interm,ME,NY
g1.0,all_interm,MI,OH
g1.0,all_interm,MN,CA
g1.0,all_interm,MO,IL
g1.0,all_interm,MS,TX
g1.0,all_interm,MT,CA
g1.0,all_interm,NC,VA
g1.0,all_interm,ND,CA
g1.0,all_interm,NE,CA
g1.0,all_interm,NH,NY
g1.0,all_interm,NJ,NY
g1.0,all_interm,NM,CA
g1.0,all_interm,NV,CA
g1.0,all_interm,NY,MA
g1.0,all_interm,OH,MI
g1.0,all_interm,OK,TX
g1.0,all_interm,OR,CA
g1.0,all_interm,PA,NY
