build,model,scope,total_M$,tv_vs_gamma1,spearman_vs_gamma1,pearson_log_vs_gamma1,gini,top5_share,top5_share_of_gamma1_top5,max_abs_share_change_pp,argmax_share_change,top1
g0.5,Leontief,world,-37773.79840074347,0.00016083530815545855,1.0,0.9999999635613318,0.7350759417003757,0.4590378516401783,0.4590378516401783,0.005315061148009059,CHN,CHN
g0.5,IIM,us_other,-348649.20974977035,0.14429171676188238,0.967250900360144,0.9723878755116239,0.5196396798950569,0.35545990869962396,0.33711948766769617,5.744475732003488,NJ,CA
g0.5,IIM,world,-68223.7308201388,9.562550964331218e-05,1.0,0.9999999822971889,0.7336231178063922,0.45538968434440424,0.45538968434440424,0.004163550320296361,GBR,CHN
g0.5,Ghosh,us_other,-251220.4888892586,0.10936826548574284,0.9754141656662665,0.979321086610961,0.503960979401138,0.33955695184393875,0.33407559782498764,4.003144623816668,NJ,CA
g0.5,Ghosh,world,-49267.340507607136,0.002488984628779477,0.9999296765119551,0.9999965552295825,0.7025657454816601,0.3826357427558384,0.3826357427558384,0.09836053290030733,CHN,CHN
g0.75,Leontief,us_other,-182897.11331186918,0.0721225793146749,0.9891476590636255,0.9937129672689147,0.5446449488473154,0.38046661453197905,0.3775357885078903,3.0052008149465292,NJ,NJ
g0.75,Leontief,world,-37835.4203267829,9.658759063384132e-05,1.0,0.9999999881023598,0.7350645296504399,0.4590138763916922,0.4590138763916922,0.003053836802793808,CHN,CHN
g0.75,IIM,us_other,-346417.2531342024,0.07269881016539119,0.9906842737094838,0.9938189047557883,0.5494378456347899,0.38385599068441256,0.3835486703191676,3.0011271365249446,NJ,NJ
g0.75,IIM,world,-68272.3819140614,6.024440048043032e-05,1.0,0.9999999940575924,0.7336150228913205,0.455374969589805,0.455374969589805,0.0026811118433056613,GBR,CHN
g0.75,Ghosh,us_other,-249118.97728448088,0.05455608537076163,0.9940456182472988,0.9954714111338459,0.5241061673460861,0.3548262289367657,0.3548262289367657,2.0655796167593667,NJ,NJ
g0.75,Ghosh,world,-49176.08065648183,0.0012751015896302082,0.9999296765119551,0.9999991209134261,0.7022898100768797,0.38224874554404986,0.38224874554404986,0.04993440043740138,CHN,CHN
g1.0,Leontief,us_other,-181497.62599660057,0.0,0.9999999999999999,1.0,0.5818661123164183,0.4280295463991738,0.4280295463991738,0.0,AK,NJ
g1.0,Leontief,world,-37911.49619354161,0.0,1.0,1.0,0.7350518888110339,0.45898960429479346,0.45898960429479346,0.0,AGO,CHN
g1.0,IIM,us_other,-343324.05622648605,0.0,0.9999999999999999,1.0,0.5866745040637319,0.43414932327689915,0.43414932327689915,0.0,AK,NJ
g1.0,IIM,world,-68338.0653888807,0.0,1.0,1.0,0.7336052020026537,0.4553600102011354,0.4553600102011354,0.0,AGO,CHN
g1.0,Ghosh,us_other,-246486.64485267352,0.0,0.9999999999999999,0.9999999999999999,0.5506240580071314,0.3781202916428905,0.3781202916428905,0.0,AK,NJ
g1.0,Ghosh,world,-49094.64745191089,0.0,1.0,1.0,0.7019939377141728,0.38183108701587914,0.38183108701587914,0.0,AGO,CHN
g1.25,Leontief,us_other,-179804.82388677946,0.06834093684518858,0.9920288115246099,0.9954002578963365,0.6215802206747841,0.4792943446672493,0.4792943446672493,3.016587670094956,NJ,NJ
g1.25,Leontief,world,-37995.84010391769,0.0001292386259221088,1.0,0.9999999821557847,0.7350390326631268,0.45896725890508405,0.45896725890508405,0.003986162695996526,GBR,CHN
g1.25,IIM,us_other,-339686.61588198534,0.06889637657474763,0.992124849939976,0.9954533741222682,0.6265127756999346,0.48554486470498803,0.48554486470498803,3.0071351232062367,NJ,NJ
g1.25,IIM,world,-68416.39255612326,9.280188015676507e-05,1.0,0.999999989631592,0.7335944648590046,0.455346390090188,0.455346390090188,0.0036305300620334546,GBR,CHN
g1.25,Ghosh,us_other,-243558.21414126907,0.05113832006670551,0.993469387755102,0.9968543530959644,0.5792413851159406,0.4026548023927614,0.40265480239276147,2.0387660307633575,NJ,NJ
g1.25,Ghosh,world,-49028.950692312326,0.0012330481673056065,0.9999765588373184,0.9999992191053609,0.7017013284428611,0.38141767683076605,0.38141767683076605,0.047138738329730034,CHN,CHN
g1.5,Leontief,us_other,-178006.0214362465,0.12936310152767408,0.9801200480192076,0.9846923215621732,0.6586559175774525,0.5281475008005303,0.5281475008005303,5.835064236399634,NJ,NJ
g1.5,Leontief,world,-38081.11525305136,0.0002774121914492627,1.0,0.9999999209672078,0.7350269137384279,0.45894819771899087,0.45894819771899087,0.00845397860562841,GBR,CHN
g1.5,IIM,us_other,-335894.18935875554,0.13046180173981675,0.9804081632653061,0.9848237093857556,0.6636059979619112,0.5345439355911625,0.5345439355911625,5.811597702931545,NJ,NJ
g1.5,IIM,world,-68500.5933817072,0.0002118631827571839,1.0,0.99999995068338,0.7335837974939962,0.4553350241544606,0.4553350241544606,0.007796114925004427,GBR,CHN
g1.5,Ghosh,us_other,-240605.074282567,0.09634506457132995,0.9833853541416566,0.9898448331699639,0.6070635561069002,0.4365566619963856,0.4269841913123793,3.9237766225737545,NJ,NJ
g1.5,Ghosh,world,-48981.611687860524,0.0023395465376169254,0.9999531176746368,0.9999972485296085,0.7014324806949254,0.38103814025211646,0.38103814025211646,0.08838157846672717,CHN,CHN
g2.0,Leontief,us_other,-174700.0661600522,0.2269799244801878,0.9489075630252101,0.9582832035871899,0.7185815726561425,0.6222919253869608,0.6102617354935652,10.429713431062076,NJ,NJ
g2.0,Leontief,world,-38232.696399837834,0.0005839884178025652,1.0,0.9999996678661204,0.735007269466376,0.4589205969582184,0.4589205969582184,0.018458543379741565,CAN,CHN
g2.0,IIM,us_other,-329050.7641555466,0.22882857432636278,0.9432412965186074,0.9583612981581339,0.7236546390002977,0.6273670995746015,0.6169498100065257,10.370643547442896,NJ,NJ
g2.0,IIM,world,-68661.69701440493,0.0004900535976082388,1.0,0.9999997687195894,0.7335657022318104,0.4553191642861647,0.4553191642861647,0.017625497468071183,CAN,CHN
g2.0,Ghosh,us_other,-235420.71758955144,0.16678345045790532,0.9570708283313325,0.9740164134971049,0.6537318097305407,0.501342748680854,0.4705503248344984,6.962565981913799,NJ,NJ
g2.0,Ghosh,world,-48936.15559620493,0.004023874244993122,0.9998827941865918,0.9999921363918757,0.7010088970088569,0.3804389485576707,0.3804389485576707,0.14913929825430133,CHN,CHN
g2.5,Leontief,us_other,-172238.33394387225,0.29188397490665186,0.9185594237695077,0.9349146418403612,0.7584582374386053,0.6858636838701112,0.6679505458520825,13.569944371784187,NJ,NJ
