sector,build,Leontief,IIM,Ghosh
Air transport,g2.5,-966.1469745138088,-1933.7240092637978,-879.0325841931076
"Arts, entertainment and recreation activities",g2.5,-1081.053347460555,-2156.413998522693,-2095.999648617501
Construction,g2.5,-1957.572189382,-3419.037442265305,-7810.890076538067
Education and public administration,g2.5,-9398.786274775654,-16105.048972546012,-21292.881332685636
"Electricity, gas, steam and air conditioning supply, and wasterwater",g2.5,-2965.707877895729,-5169.608447144004,-3511.5087183187497
Financial and insurance activities,g2.5,-25163.410828342923,-53732.88455736321,-39504.50075128032
Human health and social work activities,g2.5,-2178.70358969598,-2444.4187460526746,-16575.1956771837
Land transport and transport via pipelines,g2.5,-3327.7581645782407,-5855.094793359605,-3577.3232405602266
"Manufacture of chemicals and chemical products, pharmaceutical",g2.5,-4370.779493732317,-7866.547283400254,-5203.899554078117
Manufacture of coke and refined petroleum products,g2.5,-4551.606529912661,-8159.514178822512,-1108.2679501678713
"Manufacture of computer, electronic and optical products",g2.5,-839.9070587028541,-1565.645450319804,-1293.4778400830817
Manufacture of electrical equipment,g2.5,-427.1856339284172,-698.6545728733649,-802.3246819095089
Manufacture of fabricated metal products,g2.5,-3051.517446955325,-5103.610376513964,-2899.9892038895887
Manufacture of food and beverage and tobacco products,g2.5,-1610.2201288852723,-2182.1385692498698,-5894.60875556131
Manufacture of furniture,g2.5,-2193.5552455139746,-2845.101524953441,-1827.2318169339069
Manufacture of machinery and equipment n.e.c. ,g2.5,-884.7840730095561,-1475.1941865403276,-2272.1645212104713
"Manufacture of motor vehicles, trailers and semi-trailers",g2.5,-1094.7827706844241,-1919.0768815225033,-3701.1858632929325
Manufacture of other non-metallic mineral products,g2.5,-1316.7425220993523,-2130.006637486173,-781.1434689198004
Manufacture of other transport equipment,g2.5,-813.5104576182708,-1208.9824018172737,-1857.6338488914653
Manufacture of paper and paper products,g2.5,-2458.210411771648,-4725.368837132866,-1975.130170167267
Manufacture of rubber and plastic products,g2.5,-1770.6617219631273,-2927.0348500389246,-1831.8397799597365
"Manufacture of textiles, wearing apparel, leather and related products",g2.5,-180.9982488373236,-280.1147367865614,-492.80958770890305
Manufacture of wood and of products of wood and cork,g2.5,-1301.0486095129224,-2047.1085578230723,-546.9615389766544
"Mining, except oil & gas",g2.5,-977.8858962817154,-1847.3753839684043,-476.39290109924235
Oil and gas extraction,g2.5,-2464.5560289065656,-4398.377193637583,-1001.6568609527059
Other services + wholesale/retail,g2.5,-14055.363944801318,-23940.874103280676,-29314.039556321735
"Professional, scientific and technical activities",g2.5,-24104.89475150029,-47352.20036500886,-18503.05964057417
Real estate activities,g2.5,-15169.536398518834,-27303.64468389958,-22815.44750642688
Support activities for mining,g2.5,-220.91937858166898,-398.99548575574084,-820.0603723298698
T,g2.5,0.0,0.0,0.0
Warehousing and support activities for transportation,g2.5,-4794.895083494897,-9237.624370724752,-2636.525641313509
Water transport,g2.5,-258.38887882408835,-467.40605177830577,-625.5729202466538
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g2.5,-17379.358401742018,-36778.796656155995,-16313.343330137983
primary metals,g2.5,-1766.650289284469,-3687.5150885797884,-1593.2797726877159
Accommodation and food service activities,g3.0,-2192.679320235679,-4215.633764466908,-7155.7590357020335
Administrative and support service activities,g3.0,-14325.060758532576,-28576.473873769515,-7935.116295047138
"Agriculture, hunting, forestry, fishing and related",g3.0,-2463.0018963404536,-3489.5825646026033,-1617.540282139818
Air transport,g3.0,-956.3937469906446,-1913.5539188018483,-860.0172995257412
"Arts, entertainment and recreation activities",g3.0,-1064.3574295901635,-2121.207509022379,-2086.67702962513
Construction,g3.0,-1939.540418336006,-3382.97950806652,-7665.141059056052
Education and public administration,g3.0,-9382.317976030754,-16060.490591539452,-20780.70793873154
"Electricity, gas, steam and air conditioning supply, and wasterwater",g3.0,-2946.594740162965,-5130.417967369211,-3481.0504642769483
Financial and insurance activities,g3.0,-24873.606940769518,-53126.72032495721,-39628.92325057497
Human health and social work activities,g3.0,-2174.455806670852,-2439.110169267051,-16530.40100202638
Land transport and transport via pipelines,g3.0,-3326.880209963681,-5848.3667426287375,-3495.169822153522
"Manufacture of chemicals and chemical products, pharmaceutical",g3.0,-4333.747144930262,-7793.808949913665,-5191.701030386244
Manufacture of coke and refined petroleum products,g3.0,-4565.426333060757,-8178.478200888295,-1085.7782809419905
"Manufacture of computer, electronic and optical products",g3.0,-833.5580988104715,-1551.9470443288399,-1311.0895003784274
Manufacture of electrical equipment,g3.0,-425.82440949058685,-695.7702277663817,-790.9825240778603
Manufacture of fabricated metal products,g3.0,-3037.4168030402843,-5075.743681976343,-2886.3257954306114
Manufacture of food and beverage and tobacco products,g3.0,-1607.7743792985582,-2175.3783990345555,-5544.360765259489
Manufacture of furniture,g3.0,-2195.925672959869,-2847.6658269144305,-1824.2426806005437
Manufacture of machinery and equipment n.e.c. ,g3.0,-879.1164492620923,-1464.0579807228767,-2206.2433315213957
"Manufacture of motor vehicles, trailers and semi-trailers",g3.0,-1094.7206053512034,-1916.8013918175275,-3399.652992336491
Manufacture of other non-metallic mineral products,g3.0,-1308.7524916494126,-2114.9597500841546,-752.929015149989
Manufacture of other transport equipment,g3.0,-809.3664100624085,-1202.0672252644335,-1866.7965110138807
Manufacture of paper and paper products,g3.0,-2438.9266966855002,-4684.956898601447,-1934.7895277713626
Manufacture of rubber and plastic products,g3.0,-1756.8875259252632,-2900.6653979492557,-1771.8758859443117
"Manufacture of textiles, wearing apparel, leather and related products",g3.0,-180.28059341361234,-278.73765183924337,-475.8075327943677
Manufacture of wood and of products of wood and cork,g3.0,-1300.28667381278,-2044.7631241529955,-518.1646581400627
"Mining, except oil & gas",g3.0,-979.7650161716947,-1849.685660968907,-457.0565338404833
Oil and gas extraction,g3.0,-2485.4534684010114,-4432.5910733749815,-1003.0456053592325
Other services + wholesale/retail,g3.0,-13922.045339186818,-23680.327693584666,-29008.808466289094
"Professional, scientific and technical activities",g3.0,-23806.265051103226,-46740.59390622507,-18510.93681228897
Real estate activities,g3.0,-14971.518801346514,-26914.24240930712,-22729.60426047891
Support activities for mining,g3.0,-223.55906403323718,-403.43011705517847,-829.7037642842037
T,g3.0,0.0,0.0,0.0
Warehousing and support activities for transportation,g3.0,-4763.273397100033,-9168.964804845296,-2588.819465863104
Water transport,g3.0,-257.89123378318254,-466.0430488761978,-630.1794370148416
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g3.0,-17130.138616466036,-36252.39381920162,-16314.47576290231
primary metals,g3.0,-1767.187048889924,-3687.3171545307014,-1525.5265666730413
Accommodation and food service activities,scen_economic,-2389.8428374349155,-4618.331888593787,-8522.425989955842
Administrative and support service activities,scen_economic,-15605.485589725373,-31219.42102087827,-8920.039870128745
"Agriculture, hunting, forestry, fishing and related",scen_economic,-2453.8474046557412,-3485.974334226978,-2896.1545096580235
Air transport,scen_economic,-1024.691406159633,-2057.228418141117,-1133.1921690402235
"Arts, entertainment and recreation activities",scen_economic,-1183.0540481504681,-2375.7107923285057,-2207.220334560469
Construction,scen_economic,-2075.5698065337033,-3656.508089504441,-8837.306308105608
Education and public administration,scen_economic,-9556.538237103337,-16487.616821148575,-23298.278307056404
"Electricity, gas, steam and air conditioning supply, and wasterwater",scen_economic,-3052.8478289690925,-5359.615549385285,-3758.141519111902
Financial and insurance activities,scen_economic,-27903.394452415007,-59528.41528939199,-36865.90459484383
Human health and social work activities,scen_economic,-2210.141754568539,-2487.458804666637,-16162.010576047598
Land transport and transport via pipelines,scen_economic,-3381.044302215125,-5976.427389594808,-4273.265907147461
"Manufacture of chemicals and chemical products, pharmaceutical",scen_economic,-4405.2375646516875,-7943.530954856125,-5140.2279879802845
Manufacture of coke and refined petroleum products,scen_economic,-4526.687532672621,-8145.840598278309,-1597.8912192651942
"Manufacture of computer, electronic and optical products",scen_economic,-858.0867983197247,-1610.247419661519,-1363.9495363085807
Manufacture of electrical equipment,scen_economic,-427.8867114990472,-702.382349320115,-808.5578666510069
Manufacture of fabricated metal products,scen_economic,-3066.6087131368104,-5147.068820965643,-2915.715290676501
Manufacture of food and beverage and tobacco products,scen_economic,-1636.5214842820487,-2232.857278478092,-7740.557564989834
Manufacture of furniture,scen_economic,-2186.0102044180676,-2835.8529975813017,-1787.848284743406
Manufacture of machinery and equipment n.e.c. ,scen_economic,-893.2802947844306,-1496.7019498297338,-2619.374707956749
"Manufacture of motor vehicles, trailers and semi-trailers",scen_economic,-1090.653470100621,-1923.0748765099452,-5250.509262511567
Manufacture of other non-metallic mineral products,scen_economic,-1338.027918728201,-2175.01416041078,-955.4119377643734
Manufacture of other transport equipment,scen_economic,-821.6110998922851,-1228.5883638139437,-2050.4233232814395
Manufacture of paper and paper products,scen_economic,-2498.489146103723,-4824.809127485098,-2157.981332283151
Manufacture of rubber and plastic products,scen_economic,-1793.4910420576275,-2981.072406639247,-1998.5052124041013
"Manufacture of textiles, wearing apparel, leather and related products",scen_economic,-182.12000964195573,-283.3615753528088,-529.9597938926801
Manufacture of wood and of products of wood and cork,scen_economic,-1302.30758962538,-2055.7031099391475,-755.4369329167506
"Mining, except oil & gas",scen_economic,-975.2520993991392,-1846.4411410074906,-681.0889818059821
Oil and gas extraction,scen_economic,-2449.182835188918,-4387.4002675998545,-1378.4690864123788
Other services + wholesale/retail,scen_economic,-14835.037477874625,-25425.388964739548,-31927.736006188326
"Professional, scientific and technical activities",scen_economic,-25782.62478795574,-50844.34092046179,-17488.54833525581
Real estate activities,scen_economic,-16147.09412888852,-29288.842445846014,-23425.02474354573
Support activities for mining,scen_economic,-219.3366058306177,-397.5603832475988,-992.9041346354827
T,scen_economic,0.0,0.0,0.0
Warehousing and support activities for transportation,scen_economic,-4921.243798406567,-9541.526947684613,-2984.659072730536
Water transport,scen_economic,-262.4925762959267,-476.67218582257124,-604.6183735529859
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",scen_economic,-19048.75681414463,-40359.44535669063,-16959.75972979938
primary metals,scen_economic,-1763.774476311448,-3688.3976877865525,-1894.6200113907619
Accommodation and food service activities,scen_structured_rand,-2389.2266326650874,-4615.176694572741,-8319.116451397245
Administrative and support service activities,scen_structured_rand,-15601.053794570254,-31201.521058408856,-8841.839206028619
"Agriculture, hunting, forestry, fishing and related",scen_structured_rand,-2452.3937693185985,-3487.905860678429,-2796.3034873431898
Air transport,scen_structured_rand,-1025.0834871560396,-2056.877527279361,-1112.8117914330826
"Arts, entertainment and recreation activities",scen_structured_rand,-1176.449708138551,-2361.0431047407346,-2192.211696834726
Construction,scen_structured_rand,-2064.8358459075775,-3634.6000478192004,-8749.813627843801
Education and public administration,scen_structured_rand,-9552.204869559408,-16474.007674428205,-23264.787327315305
"Electricity, gas, steam and air conditioning supply, and wasterwater",scen_structured_rand,-3045.1739507439393,-5342.635214743097,-3737.140529263031
Financial and insurance activities,scen_structured_rand,-27646.39799182251,-58966.02290286915,-37368.23309418434
Human health and social work activities,scen_structured_rand,-2210.401627049289,-2487.15208480475,-16231.87019387578
Land transport and transport via pipelines,scen_structured_rand,-3375.4527256961337,-5965.605236186,-4209.863989625887
"Manufacture of chemicals and chemical products, pharmaceutical",scen_structured_rand,-4395.789332014255,-7923.959488911764,-5144.329656149421
Manufacture of coke and refined petroleum products,scen_structured_rand,-4527.65664488285,-8146.126619960165,-1554.828521719218
"Manufacture of computer, electronic and optical products",scen_structured_rand,-860.2995197007468,-1613.8030996275916,-1339.2529400615708
Manufacture of electrical equipment,scen_structured_rand,-428.15538819693495,-702.6888079037856,-811.1887676203468
Manufacture of fabricated metal products,scen_structured_rand,-3074.539684388373,-5159.426443083732,-2922.2921600200207
Manufacture of food and beverage and tobacco products,scen_structured_rand,-1635.4930751326453,-2232.9782598895613,-7644.953011456748
Manufacture of furniture,scen_structured_rand,-2185.9066665293954,-2835.239600444859,-1788.7857188572987
Manufacture of machinery and equipment n.e.c. ,scen_structured_rand,-892.7996331444331,-1495.2492528776836,-2605.3665253896124
"Manufacture of motor vehicles, trailers and semi-trailers",scen_structured_rand,-1090.3857287893686,-1922.0292991457045,-5215.7305583225825
Manufacture of other non-metallic mineral products,scen_structured_rand,-1337.8018344996822,-2173.661622665853,-941.7194677937919
Manufacture of other transport equipment,scen_structured_rand,-824.4077063909502,-1231.9325798527414,-2020.5929382713814
Manufacture of paper and paper products,scen_structured_rand,-2491.7927877457028,-4810.419763196613,-2147.823020670227
Manufacture of rubber and plastic products,scen_structured_rand,-1800.882157502881,-2992.2988694989267,-1989.8885644884401
"Manufacture of textiles, wearing apparel, leather and related products",scen_structured_rand,-182.63497470807442,-284.02917939232793,-529.5668582769379
Manufacture of wood and of products of wood and cork,scen_structured_rand,-1301.70678406925,-2054.1761930872967,-738.4449416108025
"Mining, except oil & gas",scen_structured_rand,-974.603034559863,-1845.128529914481,-664.21948831936
Oil and gas extraction,scen_structured_rand,-2446.9729162010176,-4382.4572309940995,-1345.00109503555
Other services + wholesale/retail,scen_structured_rand,-14819.916440454208,-25397.629458764895,-31626.78549401858
"Professional, scientific and technical activities",scen_structured_rand,-25719.71194615111,-50704.425428001705,-17656.61765625123
Real estate activities,scen_structured_rand,-16093.388856492606,-29176.887550532607,-23374.64889618821
Support activities for mining,scen_structured_rand,-219.21602222384124,-397.2683697305939,-962.016528640924
T,scen_structured_rand,0.0,0.0,0.0
Warehousing and support activities for transportation,scen_structured_rand,-4914.243321190644,-9526.522673541302,-2952.309003456159
Water transport,scen_structured_rand,-263.209847249947,-477.9170276855906,-604.5812486980441
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",scen_structured_rand,-18979.208771311067,-40198.71497574031,-16870.388790570414
primary metals,scen_structured_rand,-1763.0403412255775,-3688.3537758285884,-1876.1941213974185
Accommodation and food service activities,scen_random_0,-2283.5207210290523,-4400.981983525982,-7540.20517548677
Administrative and support service activities,scen_random_0,-14679.079174103244,-29327.3946731741,-8238.88364552922
"Agriculture, hunting, forestry, fishing and related",scen_random_0,-2422.547622770145,-3485.910874125702,-2097.4097346275066
Air transport,scen_random_0,-976.844139601613,-1957.5446523051935,-946.0889434701994
"Arts, entertainment and recreation activities",scen_random_0,-1112.6553056192995,-2224.9605750284327,-2115.340761717813
Construction,scen_random_0,-1990.4656861633168,-3486.7371620555614,-8080.215575630192
Education and public administration,scen_random_0,-9414.15451597038,-16168.326023145519,-22062.746727788184
"Electricity, gas, steam and air conditioning supply, and wasterwater",scen_random_0,-3008.365216907206,-5261.209351818954,-3567.8923516907953
Financial and insurance activities,scen_random_0,-25614.93978483998,-54721.66665679828,-39127.073088565456
Human health and social work activities,scen_random_0,-2191.0781375075594,-2460.606191767104,-16552.625179579856
Land transport and transport via pipelines,scen_random_0,-3364.7346519112734,-5946.944425442281,-3767.7098851938267
"Manufacture of chemicals and chemical products, pharmaceutical",scen_random_0,-4373.808695375062,-7893.940962677006,-5190.624729040077
Manufacture of coke and refined petroleum products,scen_random_0,-4526.487736079306,-8134.93501791387,-1279.312695928926
"Manufacture of computer, electronic and optical products",scen_random_0,-844.1191359898363,-1576.997106915079,-1306.1389152485203
Manufacture of electrical equipment,scen_random_0,-426.1424063982589,-698.3334966546347,-798.8245758689077
Manufacture of fabricated metal products,scen_random_0,-3054.648567528641,-5121.963220713736,-2852.065458531524
Manufacture of food and beverage and tobacco products,scen_random_0,-1624.6105659256775,-2227.391796335471,-6707.714867395413
Manufacture of furniture,scen_random_0,-2184.2199585548465,-2835.0221951419176,-1812.8091879246056
Manufacture of machinery and equipment n.e.c. ,scen_random_0,-886.3756112052505,-1482.2326757408634,-2403.1597141781162
"Manufacture of motor vehicles, trailers and semi-trailers",scen_random_0,-1102.2104057637857,-1946.5955871454698,-4323.078502988653
Manufacture of other non-metallic mineral products,scen_random_0,-1346.2969235043981,-2185.229964543388,-851.5849538083389
Manufacture of other transport equipment,scen_random_0,-827.1172225992842,-1231.263940145367,-1919.748403128033
Manufacture of paper and paper products,scen_random_0,-2513.3363602764152,-4845.639397733601,-2044.4989702873609
Manufacture of rubber and plastic products,scen_random_0,-1790.3190307811979,-2971.0810191504597,-1887.5566462101901
"Manufacture of textiles, wearing apparel, leather and related products",scen_random_0,-182.2023434985262,-282.842388632105,-506.5964170422918
Manufacture of wood and of products of wood and cork,scen_random_0,-1311.697268909932,-2067.569906748003,-617.5792617069881
"Mining, except oil & gas",scen_random_0,-974.2055774692647,-1844.8975372552097,-548.3570016034038
Oil and gas extraction,scen_random_0,-2431.978534658838,-4349.588036549309,-1124.633706214931
Other services + wholesale/retail,scen_random_0,-14351.688908665423,-24563.944391221907,-29816.31165141897
"Professional, scientific and technical activities",scen_random_0,-24731.50696119791,-48640.38847719042,-18395.73842205596
Real estate activities,scen_random_0,-15376.846623695206,-27735.975382730227,-22898.403307909408
Support activities for mining,scen_random_0,-217.80188363289213,-394.25089834170507,-838.8818664178824
T,scen_random_0,0.0,0.0,0.0
Warehousing and support activities for transportation,scen_random_0,-4879.592087977701,-9424.991233522507,-2733.448296463991
Water transport,scen_random_0,-263.7324041322023,-479.1187915772334,-622.3057765815237
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",scen_random_0,-18103.8310219203,-38319.904629859615,-16486.93035833409
primary metals,scen_random_0,-1798.9963936467902,-3749.5367363742057,-1733.9726987386566
Accommodation and food service activities,scen_random_1,-2313.860122154409,-4462.889538379219,-8019.24285561295
Administrative and support service activities,scen_random_1,-15490.325344811876,-30945.721496991908,-8666.212817473464
"Agriculture, hunting, forestry, fishing and related",scen_random_1,-2439.9075622060523,-3476.955335524345,-2650.053114431034
Air transport,scen_random_1,-1009.309506292593,-2023.15246883658,-1010.1555868128961
"Arts, entertainment and recreation activities",scen_random_1,-1184.838147679901,-2371.783961075631,-2183.9456362763076
Construction,scen_random_1,-2062.4428214131094,-3627.63397247099,-8515.193961694886
Education and public administration,scen_random_1,-9540.835781496897,-16442.19068071597,-22543.116536905527
"Electricity, gas, steam and air conditioning supply, and wasterwater",scen_random_1,-3068.0726440453814,-5383.023061139225,-3673.804579620883
Financial and insurance activities,scen_random_1,-27719.503616191072,-59083.027973617034,-37903.75612882745
Human health and social work activities,scen_random_1,-2205.443221656949,-2484.289685023697,-16453.268328663868
Land transport and transport via pipelines,scen_random_1,-3372.456395725493,-5963.249177020451,-4042.773293418482
"Manufacture of chemicals and chemical products, pharmaceutical",scen_random_1,-4496.7491846869725,-8126.710114201792,-5120.94217354917
Manufacture of coke and refined petroleum products,scen_random_1,-4527.103323803011,-8144.749262781395,-1457.252768369309
"Manufacture of computer, electronic and optical products",scen_random_1,-858.6079281977718,-1607.547091985204,-1322.2168668568668
Manufacture of electrical equipment,scen_random_1,-428.63101800127106,-703.777940429589,-812.3933443278892
Manufacture of fabricated metal products,scen_random_1,-3122.805401337292,-5245.68456253313,-2916.979385610508
Manufacture of food and beverage and tobacco products,scen_random_1,-1616.6411936471425,-2201.501927051102,-7391.722940428569
Manufacture of furniture,scen_random_1,-2182.961632835667,-2836.0666420309435,-1803.3102505421518
Manufacture of machinery and equipment n.e.c. ,scen_random_1,-915.1333125596121,-1536.758847588466,-2561.966259485553
"Manufacture of motor vehicles, trailers and semi-trailers",scen_random_1,-1098.3250311526624,-1943.8637703143613,-5131.455875162277
Manufacture of other non-metallic mineral products,scen_random_1,-1333.458204251886,-2164.9349891338798,-906.2069718149962
Manufacture of other transport equipment,scen_random_1,-828.8934513569742,-1236.6281263891078,-1967.9769348445202
Manufacture of paper and paper products,scen_random_1,-2511.6562585132247,-4845.254332886355,-2125.9697565482224
Manufacture of rubber and plastic products,scen_random_1,-1829.0055927591568,-3041.7224811037063,-2012.3257553030994
"Manufacture of textiles, wearing apparel, leather and related products",scen_random_1,-182.3781759192628,-283.77969691092056,-526.584868425571
Manufacture of wood and of products of wood and cork,scen_random_1,-1305.6161114654078,-2060.3138817478075,-707.2006677460776
"Mining, except oil & gas",scen_random_1,-973.4683646352914,-1844.9036136834184,-618.4566608916587
Oil and gas extraction,scen_random_1,-2425.961205729955,-4345.480066151684,-1242.7038159108538
Other services + wholesale/retail,scen_random_1,-14682.133584116109,-25172.65888519562,-31177.088399828855
"Professional, scientific and technical activities",scen_random_1,-25137.72414380411,-49497.8874291988,-18069.35201830933
Real estate activities,scen_random_1,-16083.070635729122,-29129.072727529703,-23381.941892252606
Support activities for mining,scen_random_1,-216.2569073152642,-392.07602542176284,-913.5313337862501
T,scen_random_1,0.0,0.0,0.0
Warehousing and support activities for transportation,scen_random_1,-4856.431576578246,-9399.763679739393,-2889.1127063445274
Water transport,scen_random_1,-259.789112240715,-471.6398103929957,-623.9452221247186
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",scen_random_1,-18484.7815696308,-39096.793347636194,-16715.414351709394
primary metals,scen_random_1,-1773.243599177782,-3718.941833731629,-1827.5873538332248
Accommodation and food service activities,scen_random_2,-2314.810464030963,-4465.881870044106,-7828.501814112062
Administrative and support service activities,scen_random_2,-15409.389642632155,-30766.5482544313,-8612.31917142651
"Agriculture, hunting, forestry, fishing and related",scen_random_2,-2444.148362177959,-3486.112246930158,-2508.808403921559
Air transport,scen_random_2,-1027.4461600207844,-2057.643639598786,-988.168524319366
"Arts, entertainment and recreation activities",scen_random_2,-1125.0136782569018,-2249.566513846081,-2159.466776510767
Construction,scen_random_2,-2067.161038755965,-3632.077897096788,-8411.41444773661
Education and public administration,scen_random_2,-9459.186381913305,-16270.384854096215,-22404.95377462021
"Electricity, gas, steam and air conditioning supply, and wasterwater",scen_random_2,-3056.0178591450886,-5354.13626389738,-3662.899941514008
Financial and insurance activities,scen_random_2,-27530.875864810885,-58641.81260808482,-38204.413239519774
Human health and social work activities,scen_random_2,-2194.774016166739,-2467.678919459293,-16573.89640259879
Land transport and transport via pipelines,scen_random_2,-3352.4682326538414,-5920.215970054113,-3995.2603539625784
"Manufacture of chemicals and chemical products, pharmaceutical",scen_random_2,-4555.02354098806,-8223.697184138075,-5083.520589049036
Manufacture of coke and refined petroleum products,scen_random_2,-4528.865051963628,-8140.990616073768,-1405.9477202159928
"Manufacture of computer, electronic and optical products",scen_random_2,-849.231225315286,-1587.7089871215508,-1321.3208138390535
Manufacture of electrical equipment,scen_random_2,-430.48371808271366,-705.588885424562,-816.356586293729
Manufacture of fabricated metal products,scen_random_2,-3056.857760928805,-5123.930069695931,-2932.4278546702403
Manufacture of food and beverage and tobacco products,scen_random_2,-1619.4047455822863,-2209.9069178900872,-7021.381289775918
Manufacture of furniture,scen_random_2,-2180.323421730048,-2831.6717727748587,-1827.4743624061678
Manufacture of machinery and equipment n.e.c. ,scen_random_2,-892.4623525929621,-1492.383136043159,-2495.140045443959
"Manufacture of motor vehicles, trailers and semi-trailers",scen_random_2,-1091.602756100381,-1920.2199639237924,-4734.997766015204
Manufacture of other non-metallic mineral products,scen_random_2,-1361.649265504778,-2211.9576570637246,-908.0309136953521
Manufacture of other transport equipment,scen_random_2,-817.2913307500985,-1217.3155793311753,-1943.675744010321
Manufacture of paper and paper products,scen_random_2,-2501.4098698612747,-4823.759145102174,-2105.5963354535975
Manufacture of rubber and plastic products,scen_random_2,-1802.6733138631696,-2992.3159948713947,-2009.0434653606699
"Manufacture of textiles, wearing apparel, leather and related products",scen_random_2,-182.79717581187592,-283.85303788641465,-521.5209747404722
Manufacture of wood and of products of wood and cork,scen_random_2,-1306.0488503864653,-2057.147175880752,-672.827044829964
"Mining, except oil & gas",scen_random_2,-979.0999991310998,-1853.5938717411755,-577.2010031690543
Oil and gas extraction,scen_random_2,-2434.1772700988595,-4356.202332356884,-1181.9730205583298
Other services + wholesale/retail,scen_random_2,-14560.697527574359,-24937.662503272622,-30972.959098163832
"Professional, scientific and technical activities",scen_random_2,-24949.18262190422,-49120.98035594846,-18119.53544355436
Real estate activities,scen_random_2,-15950.704545207007,-28848.66895139553,-23323.324809208632
Support activities for mining,scen_random_2,-216.87353966827146,-392.8333413584746,-909.4650425452064
T,scen_random_2,0.0,0.0,0.0
Warehousing and support activities for transportation,scen_random_2,-4866.539154742618,-9409.245063168762,-2852.295262703328
Water transport,scen_random_2,-262.0572763223855,-475.5172633034564,-623.7928218681986
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",scen_random_2,-18499.722670404553,-39121.09318229347,-16644.366120659517
primary metals,scen_random_2,-1774.297164281892,-3700.968827899028,-1813.0163341653356
