sector,build,Leontief,IIM,Ghosh
Manufacture of fabricated metal products,g1.0,-3107.3194227668773,-5221.159822226756,-2891.228475466713
Manufacture of food and beverage and tobacco products,g1.0,-1624.8813636004554,-2224.1200817361846,-7528.029830089289
Manufacture of furniture,g1.0,-2180.948734077192,-2831.4301140402454,-1801.8075641243877
Manufacture of machinery and equipment n.e.c. ,g1.0,-908.0565809854992,-1523.9319233267981,-2578.025475995623
"Manufacture of motor vehicles, trailers and semi-trailers",g1.0,-1094.5744200123384,-1935.211771683657,-5218.666529456518
Manufacture of other non-metallic mineral products,g1.0,-1354.028519317288,-2201.106550183905,-933.1588960919908
Manufacture of other transport equipment,g1.0,-831.0056843096307,-1241.0408720098746,-1934.0630668313872
Manufacture of paper and paper products,g1.0,-2528.9826600785805,-4884.016441842654,-2142.6179676553134
Manufacture of rubber and plastic products,g1.0,-1817.5341774345413,-3023.8093784500024,-2036.927878684653
"Manufacture of textiles, wearing apparel, leather and related products",g1.0,-183.5249228084074,-285.59442736613295,-535.5416144924435
Manufacture of wood and of products of wood and cork,g1.0,-1309.9296569236903,-2067.050108019631,-718.7731481207464
"Mining, except oil & gas",g1.0,-974.473615404126,-1847.9635687596863,-618.757755754473
Oil and gas extraction,g1.0,-2424.8803907094525,-4345.634285452174,-1233.2584092868476
Other services + wholesale/retail,g1.0,-14644.98300475375,-25132.346146562064,-31118.509454549327
"Professional, scientific and technical activities",g1.0,-25427.53368320701,-50118.802689519725,-17997.254891378085
Real estate activities,g1.0,-15961.26663075368,-28906.819234864593,-23240.234007416628
Support activities for mining,g1.0,-215.9841604602313,-391.77936216344017,-910.7759208031279
T,g1.0,0.0,0.0,0.0
Warehousing and support activities for transportation,g1.0,-4924.862070703399,-9537.881095091056,-2901.3608471836837
Water transport,g1.0,-262.4141210259324,-477.26005886079054,-608.3733301574604
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g1.0,-18652.605241547553,-39496.5305563271,-16658.201850426492
primary metals,g1.0,-1776.9204177551017,-3720.4847774752534,-1890.7132628256938
Accommodation and food service activities,g1.25,-2334.554445052647,-4503.655516110311,-7701.624923720555
Administrative and support service activities,g1.25,-15270.369574825147,-30518.96322862467,-8545.343543871437
"Agriculture, hunting, forestry, fishing and related",g1.25,-2432.9449468799385,-3481.069910984464,-2419.8205925557168
Air transport,g1.25,-1009.7460194908507,-2024.2565233880687,-1008.4783674836513
"Arts, entertainment and recreation activities",g1.25,-1147.1566740574808,-2297.0232347351257,-2147.60853385201
Construction,g1.25,-2041.3620809643205,-3585.893778845766,-8443.989020556006
Education and public administration,g1.25,-9491.396117032185,-16338.682122660426,-22901.20769783872
"Electricity, gas, steam and air conditioning supply, and wasterwater",g1.25,-3036.286124449944,-5319.690422267781,-3649.915844192358
Financial and insurance activities,g1.25,-26685.342674613155,-56941.673777674245,-38550.72800595701
Human health and social work activities,g1.25,-2198.4362967216725,-2472.0026249562775,-16518.569111392866
Land transport and transport via pipelines,g1.25,-3355.4090316314255,-5931.678535527615,-3979.4876827156777
"Manufacture of chemicals and chemical products, pharmaceutical",g1.25,-4482.36995187426,-8097.63512665824,-5164.253444438232
Manufacture of coke and refined petroleum products,g1.25,-4520.958501239134,-8132.144441253581,-1371.3656130754175
"Manufacture of computer, electronic and optical products",g1.25,-862.0930113013508,-1614.9071900365495,-1278.7657826354193
Manufacture of electrical equipment,g1.25,-430.4174077948708,-706.610060403156,-818.7534229596732
Manufacture of fabricated metal products,g1.25,-3099.755332153025,-5203.882031898807,-2905.7807676244684
Manufacture of food and beverage and tobacco products,g1.25,-1622.6393168966313,-2216.712022497992,-7235.525009077821
Manufacture of furniture,g1.25,-2183.827036877102,-2834.7649209069637,-1812.223773599956
Manufacture of machinery and equipment n.e.c. ,g1.25,-905.0726223523017,-1517.0974018358354,-2527.0894492441057
"Manufacture of motor vehicles, trailers and semi-trailers",g1.25,-1095.3769634193573,-1933.1249230009541,-4951.831189919597
Manufacture of other non-metallic mineral products,g1.25,-1348.6874241933867,-2190.6272941910834,-903.8668063840197
Manufacture of other transport equipment,g1.25,-828.6804922376725,-1236.2905966311482,-1903.6910455574405
Manufacture of paper and paper products,g1.25,-2520.09501840028,-4861.911823855566,-2118.0825041728526
Manufacture of rubber and plastic products,g1.25,-1812.2317174433854,-3011.3934468798375,-2012.0381486813171
