region,build,Leontief,IIM,Ghosh
WI,g1.25,-2520.365647212256,-4622.972953199354,-3773.6660325478097
WV,g1.25,-757.5216255223868,-1400.8441097148586,-1089.8337898522125
WY,g1.25,-326.13840585934435,-596.8571394159571,-325.09027855583156
ZAF,g1.25,-136.37408521538208,-254.47540123694083,-200.18179840533242
AGO,g1.5,-110.60450816626903,-204.7523451867499,-45.13477243325108
AK,g1.5,-380.5980924297457,-695.2387539156923,-536.153346542328
AL,g1.5,-1086.626151545752,-1999.60393006037,-1863.9854734538605
AR,g1.5,-605.9574671485531,-1091.5703422845372,-1069.9775570117454
ARE,g1.5,-204.927406668392,-393.54590032035804,-775.849492358362
ARG,g1.5,-123.44470923102648,-226.27362908633006,-284.8658015638702
AUS,g1.5,-270.3472377394172,-481.3601973497715,-773.5771014867864
AUT,g1.5,-184.90437071279206,-331.12210890445505,-236.89999479607567
AZ,g1.5,-1094.0968571047545,-2052.909635155304,-1977.6528802874504
BEL,g1.5,-527.1090524781914,-996.1410338610101,-770.818307925424
BGD,g1.5,-20.004437113758097,-34.02630806753535,-50.711339093855344
BGR,g1.5,-21.05572965901186,-38.41831102464704,-28.015218888327865
BLR,g1.5,-17.490218821085257,-32.36426204290493,-16.826309717745293
BRA,g1.5,-737.3646459562478,-1333.506945648573,-1284.271018102466
BRN,g1.5,-3.6978786236790726,-6.708686780929383,-3.428195788204254
CA,g1.5,-10001.068177356268,-19560.861842732975,-14742.123274881364
CAN,g1.5,-4147.911604037961,-7550.140187771403,-4228.173471726116
CHE,g1.5,-831.0217484911432,-1617.9976590206038,-1012.596883212702
CHL,g1.5,-157.43543862752242,-263.25361363475633,-207.85430247973886
CHN,g1.5,-6726.974818959648,-11367.883158681174,-6344.084366270673
CIV,g1.5,-14.176316343083595,-21.402391220348992,-13.034299081192435
CMR,g1.5,-7.715856279979284,-13.920272819416043,-8.126214673118252
CO,g1.5,-1423.5181000044659,-2651.5023850421867,-2407.1800747229436
COD,g1.5,-8.041718983493636,-14.244781680996992,-40.13538129642747
COL,g1.5,-232.23379155230316,-422.2264777913028,-312.12215553515745
CRI,g1.5,-49.592018932879505,-81.08201442136351,-93.16727402675801
CT,g1.5,-17199.613588140386,-33420.51324060182,-17174.382271681265
